Food Name (CANSIM Adjusted for waste),Food Group,Serving size (CFG),Reference value (g) (CNF),Waste Factor,Ag Commodity Conversion Factor,Months SWBC Avail' 
Wheat flour,Grains,,20,1.32,1.35,12
Rye flour,Grains,,20,1.32,1.35,0
Oatmeal and rolled oats,Grains,175mL (cooked),30,1.52,1.73,12
Pot and pearl barley,Grains,125mL (cooked),20,1.52,1.6,12
Corn flour and meal,Grains,,20,1.32,1.12,12
Rice,Grains,125mL (cooked),35,1.32,1,0
Cheddar cheese,Milk & Alts,50g,50,1.19,5.90499,12
Processed cheese,Milk & Alts,50g,50,1.19,5.71753,12
Variety cheese,Milk & Alts,50g,50,1.19,4.6865,12
Cottage cheese,Milk & Alts,250mL,239,1.32,2.06206,12
Powder skim milk,Milk & Alts,75mL,25,1.32,8.99808,12
Powder buttermilk,Milk & Alts,75mL,25,1.32,9.373,12
"Concentrated whole milk (litres per person, per year)",Milk & Alts,125mL,133,1.32,2.62444,12
"Concentrated skim milk (litres per person, per year)",Milk & Alts,125mL,133,1.32,2.15579,12
"Standard milk 3.25% (litres per person, per year)",Milk & Alts,250mL,258,1.32,1.12476,12
"Buttermilk (litres per person, per year)",Milk & Alts,250mL,259,1.32,1.03103,12
"Partly skimmed milk 2% (litres per person, per year)",Milk & Alts,250mL,258,1.32,1.03103,12
"Partly skimmed milk 1% (litres per person, per year)",Milk & Alts,250mL,258,1.32,1.03103,12
"Skim milk (litres per person, per year)",Milk & Alts,250mL,259,1.32,0.9373,12
"Chocolate drink (litres per person, per year)",Milk & Alts,250mL,264,1.32,0.9373,12
Yogurt,Milk & Alts,175mL,175,1.32,1.12476,12
"Chicken and Stewing hen, boneless weight",Meat & Alts,75 g cooked,90,1.47,1.661111111,12
"Turkey, boneless weight",Meat & Alts,75 g cooked,90,1.39,1.27,12
Eggs (15),Meat & Alts,2 (see notes),99.03333333,1.22,1,12
"Pork, boneless weight",Meat & Alts,75 g cooked,90,1.46,1.37,12
"Beef and veal, boneless weight",Meat & Alts,75 g cooked,90,1.39,1.49,12
"Mutton and lamb, boneless weight",Meat & Alts,75 g cooked,90,1.43,1.52,12
Peanuts,Meat & Alts,60mL,37,1.16,1,0
"Fresh and frozen sea fish, edible weight (11)",Meat & Alts,75 g cooked,90,,,
"Freshwater fish, edible weight (11)",Meat & Alts,75 g cooked,90,,,
"Processed sea fish, edible weight (11)",Meat & Alts,75 g cooked,90,,,
"Total shellfish, edible weight (11)",Meat & Alts,75 g cooked,90,,,
Baked and canned beans and lima beans,Meat & Alts,175mL cooked,40,1.16,1,12
Apples fresh,Fruit & Vegetables,1 medium,138.3,1.4,1,9
Apples canned,Fruit & Vegetables,125mL slices,107.8,1.4,2.17,12
