Ref_Date,GEO,COM,PRO,UNI,Value
2014,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1046780
2014,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,61190080
2014,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,424000
2014,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,24349642
2014,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,20723
2014,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,x
2014,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1523459
2014,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,38715978
2014,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,..
2014,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,..
2014,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,..
2014,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,..
2014,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,..
2014,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,..
2014,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,..
2014,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,..
2014,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
