Ref_Date,GEO,COM,PRO,UNI,Value
2002,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,..
2007,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,952256
2008,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1100873
2009,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1110255
2010,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1116709
2011,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1081391
2012,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1032000
2013,British Columbia,"Fresh tomatoes, greenhouse",Area harvested,Square metres,1037000
2002,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,..
2007,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,42864479
2008,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,53742191
2009,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,59441751
2010,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,62054040
2011,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,64129726
2012,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,59894457
2013,British Columbia,"Fresh tomatoes, greenhouse",Production,Kilograms,63024453
2002,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,..
2007,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,411560
2008,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,445470
2009,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,393984
2010,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,400831
2011,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,395126
2012,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,416259
2013,British Columbia,"Fresh cucumbers, greenhouse",Area harvested,Square metres,413000
2002,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,..
2007,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,..
2008,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,..
2009,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,..
2010,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,..
2011,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,18451582
2012,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,21806873
2013,British Columbia,"Fresh cucumbers, greenhouse",Production,Kilograms,25447114
2002,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,..
2007,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,23876
2008,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,F
2009,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,F
2010,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,F
2011,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,15974
2012,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,x
2013,British Columbia,"Fresh lettuce, greenhouse",Area harvested,Square metres,x
2002,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2007,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2008,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2009,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2010,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,
2011,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,x
2012,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,x
2013,British Columbia,"Fresh lettuce, greenhouse",Production,Kilograms,x
2002,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,..
2007,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1124126
2008,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1226320
2009,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1244900
2010,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1219417
2011,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1313047
2012,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1442000
2013,British Columbia,"Fresh peppers, greenhouse",Area harvested,Square metres,1504000
2002,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,
