Ref_Date,GEO,PRO,COM,Value
1971/01,Canada,Seed crushed,Canola (rapeseed),
1971/02,Canada,Seed crushed,Canola (rapeseed),
1971/03,Canada,Seed crushed,Canola (rapeseed),
1971/04,Canada,Seed crushed,Canola (rapeseed),
1971/05,Canada,Seed crushed,Canola (rapeseed),
1971/06,Canada,Seed crushed,Canola (rapeseed),
1971/07,Canada,Seed crushed,Canola (rapeseed),
1971/08,Canada,Seed crushed,Canola (rapeseed),15469
1971/09,Canada,Seed crushed,Canola (rapeseed),21063
1971/10,Canada,Seed crushed,Canola (rapeseed),19992
1971/11,Canada,Seed crushed,Canola (rapeseed),20702
1971/12,Canada,Seed crushed,Canola (rapeseed),21174
1972/01,Canada,Seed crushed,Canola (rapeseed),22357
1972/02,Canada,Seed crushed,Canola (rapeseed),20520
1972/03,Canada,Seed crushed,Canola (rapeseed),25801
1972/04,Canada,Seed crushed,Canola (rapeseed),21625
1972/05,Canada,Seed crushed,Canola (rapeseed),26688
1972/06,Canada,Seed crushed,Canola (rapeseed),25206
1972/07,Canada,Seed crushed,Canola (rapeseed),32692
1972/08,Canada,Seed crushed,Canola (rapeseed),23866
1972/09,Canada,Seed crushed,Canola (rapeseed),24227
1972/10,Canada,Seed crushed,Canola (rapeseed),22648
1972/11,Canada,Seed crushed,Canola (rapeseed),27658
1972/12,Canada,Seed crushed,Canola (rapeseed),26295
1973/01,Canada,Seed crushed,Canola (rapeseed),30814
1973/02,Canada,Seed crushed,Canola (rapeseed),31439
1973/03,Canada,Seed crushed,Canola (rapeseed),37132
1973/04,Canada,Seed crushed,Canola (rapeseed),30312
1973/05,Canada,Seed crushed,Canola (rapeseed),32815
1973/06,Canada,Seed crushed,Canola (rapeseed),33192
1973/07,Canada,Seed crushed,Canola (rapeseed),32779
1973/08,Canada,Seed crushed,Canola (rapeseed),28052
1973/09,Canada,Seed crushed,Canola (rapeseed),32429
1973/10,Canada,Seed crushed,Canola (rapeseed),34144
1973/11,Canada,Seed crushed,Canola (rapeseed),30242
1973/12,Canada,Seed crushed,Canola (rapeseed),32719
1974/01,Canada,Seed crushed,Canola (rapeseed),32780
1974/02,Canada,Seed crushed,Canola (rapeseed),29423
1974/03,Canada,Seed crushed,Canola (rapeseed),29022
1974/04,Canada,Seed crushed,Canola (rapeseed),25522
1974/05,Canada,Seed crushed,Canola (rapeseed),23350
1974/06,Canada,Seed crushed,Canola (rapeseed),20254
1974/07,Canada,Seed crushed,Canola (rapeseed),16474
1974/08,Canada,Seed crushed,Canola (rapeseed),14663
1974/09,Canada,Seed crushed,Canola (rapeseed),23721
1974/10,Canada,Seed crushed,Canola (rapeseed),29494
1974/11,Canada,Seed crushed,Canola (rapeseed),27204
1974/12,Canada,Seed crushed,Canola (rapeseed),20649
1975/01,Canada,Seed crushed,Canola (rapeseed),22774
1975/02,Canada,Seed crushed,Canola (rapeseed),27167
1975/03,Canada,Seed crushed,Canola (rapeseed),25150
1975/04,Canada,Seed crushed,Canola (rapeseed),28760
1975/05,Canada,Seed crushed,Canola (rapeseed),25740
1975/06,Canada,Seed crushed,Canola (rapeseed),16311
1975/07,Canada,Seed crushed,Canola (rapeseed),14338
1975/08,Canada,Seed crushed,Canola (rapeseed),18704
1975/09,Canada,Seed crushed,Canola (rapeseed),28879
1975/10,Canada,Seed crushed,Canola (rapeseed),38242
1975/11,Canada,Seed crushed,Canola (rapeseed),36378
1975/12,Canada,Seed crushed,Canola (rapeseed),29684
1976/01,Canada,Seed crushed,Canola (rapeseed),33497
1976/02,Canada,Seed crushed,Canola (rapeseed),34114
1976/03,Canada,Seed crushed,Canola (rapeseed),28782
1976/04,Canada,Seed crushed,Canola (rapeseed),24573
1976/05,Canada,Seed crushed,Canola (rapeseed),23495
1976/06,Canada,Seed crushed,Canola (rapeseed),30208
1976/07,Canada,Seed crushed,Canola (rapeseed),20599
1976/08,Canada,Seed crushed,Canola (rapeseed),37197
1976/09,Canada,Seed crushed,Canola (rapeseed),32924
1976/10,Canada,Seed crushed,Canola (rapeseed),40441
1976/11,Canada,Seed crushed,Canola (rapeseed),38077
1976/12,Canada,Seed crushed,Canola (rapeseed),38971
1977/01,Canada,Seed crushed,Canola (rapeseed),46784
1977/02,Canada,Seed crushed,Canola (rapeseed),53706
1977/03,Canada,Seed crushed,Canola (rapeseed),56035
1977/04,Canada,Seed crushed,Canola (rapeseed),51840
1977/05,Canada,Seed crushed,Canola (rapeseed),56667
1977/06,Canada,Seed crushed,Canola (rapeseed),55758
1977/07,Canada,Seed crushed,Canola (rapeseed),41308
1977/08,Canada,Seed crushed,Canola (rapeseed),17683
1977/09,Canada,Seed crushed,Canola (rapeseed),58156
1977/10,Canada,Seed crushed,Canola (rapeseed),62819
1977/11,Canada,Seed crushed,Canola (rapeseed),58542
1977/12,Canada,Seed crushed,Canola (rapeseed),51002
1978/01,Canada,Seed crushed,Canola (rapeseed),52354
1978/02,Canada,Seed crushed,Canola (rapeseed),54812
1978/03,Canada,Seed crushed,Canola (rapeseed),60413
1978/04,Canada,Seed crushed,Canola (rapeseed),63772
1978/05,Canada,Seed crushed,Canola (rapeseed),56399
1978/06,Canada,Seed crushed,Canola (rapeseed),51577
1978/07,Canada,Seed crushed,Canola (rapeseed),42771
1978/08,Canada,Seed crushed,Canola (rapeseed),23904
1978/09,Canada,Seed crushed,Canola (rapeseed),63631
1978/10,Canada,Seed crushed,Canola (rapeseed),64146
1978/11,Canada,Seed crushed,Canola (rapeseed),60119
1978/12,Canada,Seed crushed,Canola (rapeseed),64334
1979/01,Canada,Seed crushed,Canola (rapeseed),61013
1979/02,Canada,Seed crushed,Canola (rapeseed),52519
1979/03,Canada,Seed crushed,Canola (rapeseed),69647
1979/04,Canada,Seed crushed,Canola (rapeseed),63070
1979/05,Canada,Seed crushed,Canola (rapeseed),60796
1979/06,Canada,Seed crushed,Canola (rapeseed),73077
1979/07,Canada,Seed crushed,Canola (rapeseed),68797
1979/08,Canada,Seed crushed,Canola (rapeseed),22428
1979/09,Canada,Seed crushed,Canola (rapeseed),73285
1979/10,Canada,Seed crushed,Canola (rapeseed),77920
1979/11,Canada,Seed crushed,Canola (rapeseed),62993
1979/12,Canada,Seed crushed,Canola (rapeseed),83609
1980/01,Canada,Seed crushed,Canola (rapeseed),83197
1980/02,Canada,Seed crushed,Canola (rapeseed),84840
1980/03,Canada,Seed crushed,Canola (rapeseed),79981
1980/04,Canada,Seed crushed,Canola (rapeseed),81813
1980/05,Canada,Seed crushed,Canola (rapeseed),88408
1980/06,Canada,Seed crushed,Canola (rapeseed),81679
1980/07,Canada,Seed crushed,Canola (rapeseed),77152
1980/08,Canada,Seed crushed,Canola (rapeseed),35671
1980/09,Canada,Seed crushed,Canola (rapeseed),79938
1980/10,Canada,Seed crushed,Canola (rapeseed),93787
1980/11,Canada,Seed crushed,Canola (rapeseed),73089
1980/12,Canada,Seed crushed,Canola (rapeseed),80706
1981/01,Canada,Seed crushed,Canola (rapeseed),82546
1981/02,Canada,Seed crushed,Canola (rapeseed),84006
1981/03,Canada,Seed crushed,Canola (rapeseed),98825
1981/04,Canada,Seed crushed,Canola (rapeseed),97893
1981/05,Canada,Seed crushed,Canola (rapeseed),90323
1981/06,Canada,Seed crushed,Canola (rapeseed),95730
1981/07,Canada,Seed crushed,Canola (rapeseed),90767
1981/08,Canada,Seed crushed,Canola (rapeseed),40554
1981/09,Canada,Seed crushed,Canola (rapeseed),96438
1981/10,Canada,Seed crushed,Canola (rapeseed),101322
1981/11,Canada,Seed crushed,Canola (rapeseed),93717
1981/12,Canada,Seed crushed,Canola (rapeseed),92068
1982/01,Canada,Seed crushed,Canola (rapeseed),90066
1982/02,Canada,Seed crushed,Canola (rapeseed),80221
1982/03,Canada,Seed crushed,Canola (rapeseed),82148
1982/04,Canada,Seed crushed,Canola (rapeseed),60259
1982/05,Canada,Seed crushed,Canola (rapeseed),67370
1982/06,Canada,Seed crushed,Canola (rapeseed),82672
1982/07,Canada,Seed crushed,Canola (rapeseed),58519
1982/08,Canada,Seed crushed,Canola (rapeseed),34132
1982/09,Canada,Seed crushed,Canola (rapeseed),72601
1982/10,Canada,Seed crushed,Canola (rapeseed),101447
1982/11,Canada,Seed crushed,Canola (rapeseed),90929
1982/12,Canada,Seed crushed,Canola (rapeseed),77082
1983/01,Canada,Seed crushed,Canola (rapeseed),84585
1983/02,Canada,Seed crushed,Canola (rapeseed),92259
1983/03,Canada,Seed crushed,Canola (rapeseed),87397
1983/04,Canada,Seed crushed,Canola (rapeseed),62886
1983/05,Canada,Seed crushed,Canola (rapeseed),60938
1983/06,Canada,Seed crushed,Canola (rapeseed),78777
1983/07,Canada,Seed crushed,Canola (rapeseed),61063
1983/08,Canada,Seed crushed,Canola (rapeseed),36530
1983/09,Canada,Seed crushed,Canola (rapeseed),103974
1983/10,Canada,Seed crushed,Canola (rapeseed),120608
1983/11,Canada,Seed crushed,Canola (rapeseed),123915
1983/12,Canada,Seed crushed,Canola (rapeseed),118345
1984/01,Canada,Seed crushed,Canola (rapeseed),116926
1984/02,Canada,Seed crushed,Canola (rapeseed),127376
1984/03,Canada,Seed crushed,Canola (rapeseed),125115
1984/04,Canada,Seed crushed,Canola (rapeseed),107529
1984/05,Canada,Seed crushed,Canola (rapeseed),91365
1984/06,Canada,Seed crushed,Canola (rapeseed),61700
1984/07,Canada,Seed crushed,Canola (rapeseed),25939
1984/08,Canada,Seed crushed,Canola (rapeseed),37205
1984/09,Canada,Seed crushed,Canola (rapeseed),111013
