Ref_Date,GEO,EST,Value
1996,British Columbia,"Area beds, total (square feet x 1,000)",2323
1997,British Columbia,"Area beds, total (square feet x 1,000)",2323
1998,British Columbia,"Area beds, total (square feet x 1,000)",2491
1999,British Columbia,"Area beds, total (square feet x 1,000)",2336
2000,British Columbia,"Area beds, total (square feet x 1,000)",2627
2001,British Columbia,"Area beds, total (square feet x 1,000)",3468
2002,British Columbia,"Area beds, total (square feet x 1,000)",3669
2003,British Columbia,"Area beds, total (square feet x 1,000)",4717
2004,British Columbia,"Area beds, total (square feet x 1,000)",4549
2005,British Columbia,"Area beds, total (square feet x 1,000)",4860
2006,British Columbia,"Area beds, total (square feet x 1,000)",..
2007,British Columbia,"Area beds, total (square feet x 1,000)",..
2008,British Columbia,"Area beds, total (square feet x 1,000)",..
2009,British Columbia,"Area beds, total (square feet x 1,000)",..
2010,British Columbia,"Area beds, total (square feet x 1,000)",..
2011,British Columbia,"Area beds, total (square feet x 1,000)",x
2012,British Columbia,"Area beds, total (square feet x 1,000)",x
2013,British Columbia,"Area beds, total (square feet x 1,000)",x
1996,British Columbia,"Production (fresh and processed), total (tons)",21232
1997,British Columbia,"Production (fresh and processed), total (tons)",22196
1998,British Columbia,"Production (fresh and processed), total (tons)",24490
1999,British Columbia,"Production (fresh and processed), total (tons)",24490
2000,British Columbia,"Production (fresh and processed), total (tons)",23163
2001,British Columbia,"Production (fresh and processed), total (tons)",30541
2002,British Columbia,"Production (fresh and processed), total (tons)",15623
2003,British Columbia,"Production (fresh and processed), total (tons)",25307
2004,British Columbia,"Production (fresh and processed), total (tons)",25286
2005,British Columbia,"Production (fresh and processed), total (tons)",28516
2006,British Columbia,"Production (fresh and processed), total (tons)",..
2007,British Columbia,"Production (fresh and processed), total (tons)",..
2008,British Columbia,"Production (fresh and processed), total (tons)",..
2009,British Columbia,"Production (fresh and processed), total (tons)",..
2010,British Columbia,"Production (fresh and processed), total (tons)",..
2011,British Columbia,"Production (fresh and processed), total (tons)",x
2012,British Columbia,"Production (fresh and processed), total (tons)",x
2013,British Columbia,"Production (fresh and processed), total (tons)",x
