Ref_Date,GEO,EST,COM,Value
2014,British Columbia,Area planted (hectares),Asparagus,101
2014,British Columbia,Area planted (hectares),"Beans, green or wax",749
2014,British Columbia,Area planted (hectares),Beets,142
2014,British Columbia,Area planted (hectares),Broccoli,277
2014,British Columbia,Area planted (hectares),Brussels sprouts,235
2014,British Columbia,Area planted (hectares),Cabbage,345
2014,British Columbia,Area planted (hectares),Carrots,246
2014,British Columbia,Area planted (hectares),Cauliflower,69
2014,British Columbia,Area planted (hectares),Celery,2
2014,British Columbia,Area planted (hectares),"Corn, sweet",1085
2014,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),61
2014,British Columbia,Area planted (hectares),Garlic,58
2014,British Columbia,Area planted (hectares),Leeks,14
2014,British Columbia,Area planted (hectares),Lettuce,249
2014,British Columbia,Area planted (hectares),Dry onions,109
2014,British Columbia,Area planted (hectares),"Other melons (cantaloupes, winter melons, etcetera)",F
2014,British Columbia,Area planted (hectares),Parsley,8
2014,British Columbia,Area planted (hectares),Parsnips,F
2014,British Columbia,Area planted (hectares),"Peas, green",428
2014,British Columbia,Area planted (hectares),Pumpkins,320
2014,British Columbia,Area planted (hectares),Shallots and green onions,24
2014,British Columbia,Area planted (hectares),Spinach,45
2014,British Columbia,Area planted (hectares),Squash and zucchinis,313
2014,British Columbia,Area planted (hectares),Tomatoes,118
2014,British Columbia,Area planted (hectares),Peppers,107
2014,British Columbia,Area planted (hectares),Radishes,30
2014,British Columbia,Area planted (hectares),Rhubarb,56
2014,British Columbia,Area planted (hectares),Rutabagas and turnips,58
2014,British Columbia,Area planted (hectares),Watermelon,F
2014,British Columbia,Area planted (hectares),"Cabbage, Chinese (bok-choy, napa, etcetera)",154
2014,British Columbia,Area planted (hectares),"Cabbage, regular",191
2014,British Columbia,Area planted (hectares),Other vegetables,144
2014,British Columbia,Marketed production (metric tonnes),Asparagus,159
2014,British Columbia,Marketed production (metric tonnes),"Beans, green or wax",5171
2014,British Columbia,Marketed production (metric tonnes),Beets,3016
2014,British Columbia,Marketed production (metric tonnes),Broccoli,1400
2014,British Columbia,Marketed production (metric tonnes),Brussels sprouts,2803
2014,British Columbia,Marketed production (metric tonnes),Cabbage,6253
2014,British Columbia,Marketed production (metric tonnes),Carrots,F
2014,British Columbia,Marketed production (metric tonnes),Cauliflower,597
2014,British Columbia,Marketed production (metric tonnes),Celery,20
2014,British Columbia,Marketed production (metric tonnes),"Corn, sweet",8370
2014,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),1052
2014,British Columbia,Marketed production (metric tonnes),Garlic,129
2014,British Columbia,Marketed production (metric tonnes),Leeks,158
2014,British Columbia,Marketed production (metric tonnes),Lettuce,6028
2014,British Columbia,Marketed production (metric tonnes),Dry onions,F
2014,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",F
2014,British Columbia,Marketed production (metric tonnes),Parsley,195
2014,British Columbia,Marketed production (metric tonnes),Parsnips,68
2014,British Columbia,Marketed production (metric tonnes),"Peas, green",2231
2014,British Columbia,Marketed production (metric tonnes),Pumpkins,10115
2014,British Columbia,Marketed production (metric tonnes),Shallots and green onions,227
2014,British Columbia,Marketed production (metric tonnes),Spinach,591
2014,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,4492
2014,British Columbia,Marketed production (metric tonnes),Tomatoes,2245
2014,British Columbia,Marketed production (metric tonnes),Peppers,2088
2014,British Columbia,Marketed production (metric tonnes),Radishes,512
2014,British Columbia,Marketed production (metric tonnes),Rhubarb,408
2014,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,F
2014,British Columbia,Marketed production (metric tonnes),Watermelon,F
2014,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",1594
2014,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",4659
