Ref_Date,GEO,EST,COM,Value
2002,British Columbia,Area planted (hectares),Asparagus,115
2003,British Columbia,Area planted (hectares),Asparagus,115
2004,British Columbia,Area planted (hectares),Asparagus,103
2005,British Columbia,Area planted (hectares),Asparagus,103
2006,British Columbia,Area planted (hectares),Asparagus,87
2007,British Columbia,Area planted (hectares),Asparagus,81
2008,British Columbia,Area planted (hectares),Asparagus,71
2009,British Columbia,Area planted (hectares),Asparagus,F
2010,British Columbia,Area planted (hectares),Asparagus,143
2011,British Columbia,Area planted (hectares),Asparagus,118
2012,British Columbia,Area planted (hectares),Asparagus,117
2013,British Columbia,Area planted (hectares),Asparagus,F
2002,British Columbia,Area planted (hectares),"Beans, green or wax",809
2003,British Columbia,Area planted (hectares),"Beans, green or wax",941
2004,British Columbia,Area planted (hectares),"Beans, green or wax",969
2005,British Columbia,Area planted (hectares),"Beans, green or wax",931
2006,British Columbia,Area planted (hectares),"Beans, green or wax",1105
2007,British Columbia,Area planted (hectares),"Beans, green or wax",1032
2008,British Columbia,Area planted (hectares),"Beans, green or wax",975
2009,British Columbia,Area planted (hectares),"Beans, green or wax",1091
2010,British Columbia,Area planted (hectares),"Beans, green or wax",866
2011,British Columbia,Area planted (hectares),"Beans, green or wax",749
2012,British Columbia,Area planted (hectares),"Beans, green or wax",698
2013,British Columbia,Area planted (hectares),"Beans, green or wax",645
2002,British Columbia,Area planted (hectares),Beets,71
2003,British Columbia,Area planted (hectares),Beets,71
2004,British Columbia,Area planted (hectares),Beets,57
2005,British Columbia,Area planted (hectares),Beets,57
2006,British Columbia,Area planted (hectares),Beets,x
2007,British Columbia,Area planted (hectares),Beets,91
2008,British Columbia,Area planted (hectares),Beets,77
2009,British Columbia,Area planted (hectares),Beets,85
2010,British Columbia,Area planted (hectares),Beets,109
2011,British Columbia,Area planted (hectares),Beets,159
2012,British Columbia,Area planted (hectares),Beets,169
2013,British Columbia,Area planted (hectares),Beets,179
2002,British Columbia,Area planted (hectares),Broccoli,
2003,British Columbia,Area planted (hectares),Broccoli,
2004,British Columbia,Area planted (hectares),Broccoli,
2005,British Columbia,Area planted (hectares),Broccoli,
2006,British Columbia,Area planted (hectares),Broccoli,
2007,British Columbia,Area planted (hectares),Broccoli,384
2008,British Columbia,Area planted (hectares),Broccoli,374
2009,British Columbia,Area planted (hectares),Broccoli,346
2010,British Columbia,Area planted (hectares),Broccoli,F
2011,British Columbia,Area planted (hectares),Broccoli,334
2012,British Columbia,Area planted (hectares),Broccoli,322
2013,British Columbia,Area planted (hectares),Broccoli,310
2002,British Columbia,Area planted (hectares),Brussels sprouts,
2003,British Columbia,Area planted (hectares),Brussels sprouts,
2004,British Columbia,Area planted (hectares),Brussels sprouts,
2005,British Columbia,Area planted (hectares),Brussels sprouts,
2006,British Columbia,Area planted (hectares),Brussels sprouts,
2007,British Columbia,Area planted (hectares),Brussels sprouts,344
2008,British Columbia,Area planted (hectares),Brussels sprouts,291
2009,British Columbia,Area planted (hectares),Brussels sprouts,346
2010,British Columbia,Area planted (hectares),Brussels sprouts,400
2011,British Columbia,Area planted (hectares),Brussels sprouts,310
2012,British Columbia,Area planted (hectares),Brussels sprouts,283
2013,British Columbia,Area planted (hectares),Brussels sprouts,256
2002,British Columbia,Area planted (hectares),Cabbage,332
2003,British Columbia,Area planted (hectares),Cabbage,265
2004,British Columbia,Area planted (hectares),Cabbage,269
2005,British Columbia,Area planted (hectares),Cabbage,196
2006,British Columbia,Area planted (hectares),Cabbage,243
2007,British Columbia,Area planted (hectares),Cabbage,229
2008,British Columbia,Area planted (hectares),Cabbage,291
2009,British Columbia,Area planted (hectares),Cabbage,318
2010,British Columbia,Area planted (hectares),Cabbage,299
2011,British Columbia,Area planted (hectares),Cabbage,431
2012,British Columbia,Area planted (hectares),Cabbage,439
2013,British Columbia,Area planted (hectares),Cabbage,407
2002,British Columbia,Area planted (hectares),Carrots,316
2003,British Columbia,Area planted (hectares),Carrots,340
2004,British Columbia,Area planted (hectares),Carrots,336
2005,British Columbia,Area planted (hectares),Carrots,251
2006,British Columbia,Area planted (hectares),Carrots,x
2007,British Columbia,Area planted (hectares),Carrots,281
2008,British Columbia,Area planted (hectares),Carrots,188
2009,British Columbia,Area planted (hectares),Carrots,F
2010,British Columbia,Area planted (hectares),Carrots,285
2011,British Columbia,Area planted (hectares),Carrots,297
2012,British Columbia,Area planted (hectares),Carrots,304
2013,British Columbia,Area planted (hectares),Carrots,310
2002,British Columbia,Area planted (hectares),Cauliflower,192
2003,British Columbia,Area planted (hectares),Cauliflower,182
2004,British Columbia,Area planted (hectares),Cauliflower,182
2005,British Columbia,Area planted (hectares),Cauliflower,93
2006,British Columbia,Area planted (hectares),Cauliflower,55
2007,British Columbia,Area planted (hectares),Cauliflower,36
2008,British Columbia,Area planted (hectares),Cauliflower,42
2009,British Columbia,Area planted (hectares),Cauliflower,47
2010,British Columbia,Area planted (hectares),Cauliflower,60
2011,British Columbia,Area planted (hectares),Cauliflower,72
2012,British Columbia,Area planted (hectares),Cauliflower,76
2013,British Columbia,Area planted (hectares),Cauliflower,81
2002,British Columbia,Area planted (hectares),Celery,x
2003,British Columbia,Area planted (hectares),Celery,12
2004,British Columbia,Area planted (hectares),Celery,x
2005,British Columbia,Area planted (hectares),Celery,4
2006,British Columbia,Area planted (hectares),Celery,4
2007,British Columbia,Area planted (hectares),Celery,4
2008,British Columbia,Area planted (hectares),Celery,4
2009,British Columbia,Area planted (hectares),Celery,x
2010,British Columbia,Area planted (hectares),Celery,x
2011,British Columbia,Area planted (hectares),Celery,8
2012,British Columbia,Area planted (hectares),Celery,10
2013,British Columbia,Area planted (hectares),Celery,x
2002,British Columbia,Area planted (hectares),"Corn, sweet",1113
2003,British Columbia,Area planted (hectares),"Corn, sweet",1133
2004,British Columbia,Area planted (hectares),"Corn, sweet",1093
2005,British Columbia,Area planted (hectares),"Corn, sweet",1093
2006,British Columbia,Area planted (hectares),"Corn, sweet",1376
2007,British Columbia,Area planted (hectares),"Corn, sweet",1376
2008,British Columbia,Area planted (hectares),"Corn, sweet",1226
2009,British Columbia,Area planted (hectares),"Corn, sweet",858
2010,British Columbia,Area planted (hectares),"Corn, sweet",981
2011,British Columbia,Area planted (hectares),"Corn, sweet",1301
2012,British Columbia,Area planted (hectares),"Corn, sweet",1255
2013,British Columbia,Area planted (hectares),"Corn, sweet",1207
2002,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),101
2003,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),95
2004,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),85
2005,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),65
2006,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),69
2007,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),61
2008,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),49
2009,British Columbia,Area planted (hectares),Cucumbers and gherkins (all varieties),63
