Ref_Date,GEO,EST,COM,UOFM,Value
2002,British Columbia,Marketed production,Apples,Metric tonnes,103555
2003,British Columbia,Marketed production,Apples,Metric tonnes,116392
2004,British Columbia,Marketed production,Apples,Metric tonnes,103047
2005,British Columbia,Marketed production,Apples,Metric tonnes,117367
2006,British Columbia,Marketed production,Apples,Metric tonnes,125639
2007,British Columbia,Marketed production,Apples,Metric tonnes,77111
2008,British Columbia,Marketed production,Apples,Metric tonnes,106367
2009,British Columbia,Marketed production,Apples,Metric tonnes,93259
2010,British Columbia,Marketed production,Apples,Metric tonnes,92146
2011,British Columbia,Marketed production,Apples,Metric tonnes,100107
2012,British Columbia,Marketed production,Apples,Metric tonnes,101354
2013,British Columbia,Marketed production,Apples,Metric tonnes,84397
2002,British Columbia,Marketed production,Apricots,Metric tonnes,
2003,British Columbia,Marketed production,Apricots,Metric tonnes,
2004,British Columbia,Marketed production,Apricots,Metric tonnes,
2005,British Columbia,Marketed production,Apricots,Metric tonnes,
2006,British Columbia,Marketed production,Apricots,Metric tonnes,
2007,British Columbia,Marketed production,Apricots,Metric tonnes,708
2008,British Columbia,Marketed production,Apricots,Metric tonnes,937
2009,British Columbia,Marketed production,Apricots,Metric tonnes,755
2010,British Columbia,Marketed production,Apricots,Metric tonnes,514
2011,British Columbia,Marketed production,Apricots,Metric tonnes,402
2012,British Columbia,Marketed production,Apricots,Metric tonnes,579
2013,British Columbia,Marketed production,Apricots,Metric tonnes,426
2002,British Columbia,Marketed production,Blueberries,Metric tonnes,18098
2003,British Columbia,Marketed production,Blueberries,Metric tonnes,23795
2004,British Columbia,Marketed production,Blueberries,Metric tonnes,31230
2005,British Columbia,Marketed production,Blueberries,Metric tonnes,25016
2006,British Columbia,Marketed production,Blueberries,Metric tonnes,23587
2007,British Columbia,Marketed production,Blueberries,Metric tonnes,33466
2008,British Columbia,Marketed production,Blueberries,Metric tonnes,30844
2009,British Columbia,Marketed production,Blueberries,Metric tonnes,40075
2010,British Columbia,Marketed production,Blueberries,Metric tonnes,40823
2011,British Columbia,Marketed production,Blueberries,Metric tonnes,44120
2012,British Columbia,Marketed production,Blueberries,Metric tonnes,52597
2013,British Columbia,Marketed production,Blueberries,Metric tonnes,50277
2002,British Columbia,Marketed production,"Cherries, sour",Metric tonnes,
2003,British Columbia,Marketed production,"Cherries, sour",Metric tonnes,
2004,British Columbia,Marketed production,"Cherries, sour",Metric tonnes,
2005,British Columbia,Marketed production,"Cherries, sour",Metric tonnes,
