Ref_Date,GEO,VEG,UOM,Value
2011,British Columbia [PR590000000],Sweet corn,Hectares,1301
2011,British Columbia [PR590000000],Tomatoes,Hectares,135
2011,British Columbia [PR590000000],Cucumbers,Hectares,104
2011,British Columbia [PR590000000],Green peas,Hectares,312
2011,British Columbia [PR590000000],Green and wax beans,Hectares,749
2011,British Columbia [PR590000000],Cabbage,Hectares,272
2011,British Columbia [PR590000000],Chinese cabbage,Hectares,159
2011,British Columbia [PR590000000],Cauliflower,Hectares,72
2011,British Columbia [PR590000000],Broccoli,Hectares,334
2011,British Columbia [PR590000000],Brussels sprouts,Hectares,310
2011,British Columbia [PR590000000],Carrots,Hectares,297
2011,British Columbia [PR590000000],Rutabagas and turnips,Hectares,117
2011,British Columbia [PR590000000],Beets,Hectares,159
2011,British Columbia [PR590000000],Radishes,Hectares,43
2011,British Columbia [PR590000000],Shallots and green onions,Hectares,55
2011,British Columbia [PR590000000],"Dry onions, yellow, Spanish, cooking, etc.",Hectares,123
2011,British Columbia [PR590000000],Celery,Hectares,8
2011,British Columbia [PR590000000],Lettuce,Hectares,238
2011,British Columbia [PR590000000],Spinach,Hectares,69
2011,British Columbia [PR590000000],Peppers,Hectares,149
2011,British Columbia [PR590000000],Pumpkins,Hectares,370
2011,British Columbia [PR590000000],Squash and zucchini,Hectares,412
2011,British Columbia [PR590000000],"Asparagus, producing",Hectares,101
2011,British Columbia [PR590000000],"Asparagus, non-producing",Hectares,17
2011,British Columbia [PR590000000],Other vegetables,Hectares,686
