Ref_Date,GEO,LIVE,UOM,Value
2011,"Powell River, British Columbia [CD590127000]",Total hens and chickens,Number of birds,4507
2011,"Powell River, British Columbia [CD590127000]","Pullets under 19 weeks, intended for laying table eggs",Number of birds,737
2011,"Powell River, British Columbia [CD590127000]","Laying hens, 19 weeks and over, that produce table eggs",Number of birds,2011
2011,"Powell River, British Columbia [CD590127000]",Layer and broiler breeders (pullets and hens),Number of birds,495
2011,"Powell River, British Columbia [CD590127000]","Broilers, roasters and Cornish",Number of birds,1264
2011,"Powell River, British Columbia [CD590127000]",Turkeys,Number of birds,x
2011,"Powell River, British Columbia [CD590127000]",Other poultry,Number of birds,183
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]",Total hens and chickens,Number of birds,16376562
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]","Pullets under 19 weeks, intended for laying table eggs",Number of birds,764115
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]","Laying hens, 19 weeks and over, that produce table eggs",Number of birds,2099766
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]",Layer and broiler breeders (pullets and hens),Number of birds,875875
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]","Broilers, roasters and Cornish",Number of birds,12636806
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]",Turkeys,Number of birds,876802
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]",Other poultry,Number of birds,447573
