Ref_Date,GEO,SEX,AGE,Value
2016,"Fraser Valley, British Columbia",Males,0 years,1754
2016,"Fraser Valley, British Columbia",Males,1 year,1807
2016,"Fraser Valley, British Columbia",Males,2 years,1820
2016,"Fraser Valley, British Columbia",Males,3 years,1839
2016,"Fraser Valley, British Columbia",Males,4 years,1823
2016,"Fraser Valley, British Columbia",Males,5 years,1850
2016,"Fraser Valley, British Columbia",Males,6 years,1916
2016,"Fraser Valley, British Columbia",Males,7 years,1933
2016,"Fraser Valley, British Columbia",Males,8 years,1961
2016,"Fraser Valley, British Columbia",Males,9 years,1958
2016,"Fraser Valley, British Columbia",Males,10 years,1880
2016,"Fraser Valley, British Columbia",Males,11 years,1828
2016,"Fraser Valley, British Columbia",Males,12 years,1908
2016,"Fraser Valley, British Columbia",Males,13 years,1959
2016,"Fraser Valley, British Columbia",Males,14 years,1865
2016,"Fraser Valley, British Columbia",Males,15 years,1901
2016,"Fraser Valley, British Columbia",Males,16 years,1959
2016,"Fraser Valley, British Columbia",Males,17 years,2034
2016,"Fraser Valley, British Columbia",Males,18 years,1957
2016,"Fraser Valley, British Columbia",Males,19 years,2142
2016,"Fraser Valley, British Columbia",Males,20 years,2132
2016,"Fraser Valley, British Columbia",Males,21 years,2202
2016,"Fraser Valley, British Columbia",Males,22 years,2112
2016,"Fraser Valley, British Columbia",Males,23 years,2096
2016,"Fraser Valley, British Columbia",Males,24 years,2035
2016,"Fraser Valley, British Columbia",Males,25 years,1989
2016,"Fraser Valley, British Columbia",Males,26 years,1951
2016,"Fraser Valley, British Columbia",Males,27 years,1849
2016,"Fraser Valley, British Columbia",Males,28 years,1844
2016,"Fraser Valley, British Columbia",Males,29 years,1899
2016,"Fraser Valley, British Columbia",Males,30 years,2017
2016,"Fraser Valley, British Columbia",Males,31 years,2021
2016,"Fraser Valley, British Columbia",Males,32 years,2013
2016,"Fraser Valley, British Columbia",Males,33 years,1999
2016,"Fraser Valley, British Columbia",Males,34 years,2023
2016,"Fraser Valley, British Columbia",Males,35 years,1984
2016,"Fraser Valley, British Columbia",Males,36 years,1971
2016,"Fraser Valley, British Columbia",Males,37 years,1920
2016,"Fraser Valley, British Columbia",Males,38 years,1940
2016,"Fraser Valley, British Columbia",Males,39 years,1864
2016,"Fraser Valley, British Columbia",Males,40 years,1913
2016,"Fraser Valley, British Columbia",Males,41 years,1849
2016,"Fraser Valley, British Columbia",Males,42 years,1789
2016,"Fraser Valley, British Columbia",Males,43 years,1869
2016,"Fraser Valley, British Columbia",Males,44 years,1990
2016,"Fraser Valley, British Columbia",Males,45 years,2108
2016,"Fraser Valley, British Columbia",Males,46 years,2070
2016,"Fraser Valley, British Columbia",Males,47 years,2052
2016,"Fraser Valley, British Columbia",Males,48 years,2073
2016,"Fraser Valley, British Columbia",Males,49 years,2044
2016,"Fraser Valley, British Columbia",Males,50 years,2062
2016,"Fraser Valley, British Columbia",Males,51 years,2208
2016,"Fraser Valley, British Columbia",Males,52 years,2214
2016,"Fraser Valley, British Columbia",Males,53 years,2318
2016,"Fraser Valley, British Columbia",Males,54 years,2205
2016,"Fraser Valley, British Columbia",Males,55 years,2233
2016,"Fraser Valley, British Columbia",Males,56 years,2137
2016,"Fraser Valley, British Columbia",Males,57 years,2107
2016,"Fraser Valley, British Columbia",Males,58 years,2070
2016,"Fraser Valley, British Columbia",Males,59 years,2011
2016,"Fraser Valley, British Columbia",Males,60 years,1923
2016,"Fraser Valley, British Columbia",Males,61 years,1852
2016,"Fraser Valley, British Columbia",Males,62 years,1878
2016,"Fraser Valley, British Columbia",Males,63 years,1737
2016,"Fraser Valley, British Columbia",Males,64 years,1649
2016,"Fraser Valley, British Columbia",Males,65 years,1622
2016,"Fraser Valley, British Columbia",Males,66 years,1608
2016,"Fraser Valley, British Columbia",Males,67 years,1615
2016,"Fraser Valley, British Columbia",Males,68 years,1617
2016,"Fraser Valley, British Columbia",Males,69 years,1578
2016,"Fraser Valley, British Columbia",Males,70 years,1406
2016,"Fraser Valley, British Columbia",Males,71 years,1266
2016,"Fraser Valley, British Columbia",Males,72 years,1253
2016,"Fraser Valley, British Columbia",Males,73 years,1216
2016,"Fraser Valley, British Columbia",Males,74 years,1077
2016,"Fraser Valley, British Columbia",Males,75 years,1011
2016,"Fraser Valley, British Columbia",Males,76 years,918
2016,"Fraser Valley, British Columbia",Males,77 years,882
2016,"Fraser Valley, British Columbia",Males,78 years,786
2016,"Fraser Valley, British Columbia",Males,79 years,774
2016,"Fraser Valley, British Columbia",Males,80 years,704
2016,"Fraser Valley, British Columbia",Males,81 years,716
2016,"Fraser Valley, British Columbia",Males,82 years,583
2016,"Fraser Valley, British Columbia",Males,83 years,616
2016,"Fraser Valley, British Columbia",Males,84 years,567
2016,"Fraser Valley, British Columbia",Males,85 years,491
2016,"Fraser Valley, British Columbia",Males,86 years,462
2016,"Fraser Valley, British Columbia",Males,87 years,386
2016,"Fraser Valley, British Columbia",Males,88 years,322
2016,"Fraser Valley, British Columbia",Males,89 years,306
2016,"Fraser Valley, British Columbia",Males,90 years and over,816
2016,"Fraser Valley, British Columbia",Females,0 years,1658
2016,"Fraser Valley, British Columbia",Females,1 year,1706
2016,"Fraser Valley, British Columbia",Females,2 years,1716
2016,"Fraser Valley, British Columbia",Females,3 years,1733
2016,"Fraser Valley, British Columbia",Females,4 years,1764
2016,"Fraser Valley, British Columbia",Females,5 years,1759
2016,"Fraser Valley, British Columbia",Females,6 years,1753
2016,"Fraser Valley, British Columbia",Females,7 years,1781
2016,"Fraser Valley, British Columbia",Females,8 years,1806
2016,"Fraser Valley, British Columbia",Females,9 years,1761
2016,"Fraser Valley, British Columbia",Females,10 years,1733
2016,"Fraser Valley, British Columbia",Females,11 years,1753
2016,"Fraser Valley, British Columbia",Females,12 years,1744
2016,"Fraser Valley, British Columbia",Females,13 years,1649
2016,"Fraser Valley, British Columbia",Females,14 years,1726
2016,"Fraser Valley, British Columbia",Females,15 years,1752
2016,"Fraser Valley, British Columbia",Females,16 years,1871
2016,"Fraser Valley, British Columbia",Females,17 years,1951
2016,"Fraser Valley, British Columbia",Females,18 years,1905
2016,"Fraser Valley, British Columbia",Females,19 years,1877
2016,"Fraser Valley, British Columbia",Females,20 years,1975
2016,"Fraser Valley, British Columbia",Females,21 years,1967
2016,"Fraser Valley, British Columbia",Females,22 years,1842
2016,"Fraser Valley, British Columbia",Females,23 years,1883
2016,"Fraser Valley, British Columbia",Females,24 years,1896
2016,"Fraser Valley, British Columbia",Females,25 years,1830
2016,"Fraser Valley, British Columbia",Females,26 years,1916
2016,"Fraser Valley, British Columbia",Females,27 years,1920
2016,"Fraser Valley, British Columbia",Females,28 years,1944
2016,"Fraser Valley, British Columbia",Females,29 years,1979
2016,"Fraser Valley, British Columbia",Females,30 years,1910
2016,"Fraser Valley, British Columbia",Females,31 years,1992
2016,"Fraser Valley, British Columbia",Females,32 years,2012
2016,"Fraser Valley, British Columbia",Females,33 years,1950
2016,"Fraser Valley, British Columbia",Females,34 years,2073
2016,"Fraser Valley, British Columbia",Females,35 years,1966
2016,"Fraser Valley, British Columbia",Females,36 years,1929
2016,"Fraser Valley, British Columbia",Females,37 years,1892
2016,"Fraser Valley, British Columbia",Females,38 years,1840
2016,"Fraser Valley, British Columbia",Females,39 years,1866
2016,"Fraser Valley, British Columbia",Females,40 years,1831
2016,"Fraser Valley, British Columbia",Females,41 years,1899
2016,"Fraser Valley, British Columbia",Females,42 years,1819
2016,"Fraser Valley, British Columbia",Females,43 years,1836
2016,"Fraser Valley, British Columbia",Females,44 years,1807
2016,"Fraser Valley, British Columbia",Females,45 years,1972
2016,"Fraser Valley, British Columbia",Females,46 years,2020
2016,"Fraser Valley, British Columbia",Females,47 years,2049
2016,"Fraser Valley, British Columbia",Females,48 years,1979
2016,"Fraser Valley, British Columbia",Females,49 years,1918
2016,"Fraser Valley, British Columbia",Females,50 years,2052
2016,"Fraser Valley, British Columbia",Females,51 years,2120
2016,"Fraser Valley, British Columbia",Females,52 years,2219
2016,"Fraser Valley, British Columbia",Females,53 years,2198
2016,"Fraser Valley, British Columbia",Females,54 years,2178
2016,"Fraser Valley, British Columbia",Females,55 years,2123
2016,"Fraser Valley, British Columbia",Females,56 years,2206
2016,"Fraser Valley, British Columbia",Females,57 years,2159
2016,"Fraser Valley, British Columbia",Females,58 years,2069
2016,"Fraser Valley, British Columbia",Females,59 years,2030
2016,"Fraser Valley, British Columbia",Females,60 years,1903
2016,"Fraser Valley, British Columbia",Females,61 years,1951
2016,"Fraser Valley, British Columbia",Females,62 years,1919
2016,"Fraser Valley, British Columbia",Females,63 years,1780
2016,"Fraser Valley, British Columbia",Females,64 years,1693
2016,"Fraser Valley, British Columbia",Females,65 years,1669
2016,"Fraser Valley, British Columbia",Females,66 years,1700
2016,"Fraser Valley, British Columbia",Females,67 years,1722
2016,"Fraser Valley, British Columbia",Females,68 years,1655
2016,"Fraser Valley, British Columbia",Females,69 years,1645
2016,"Fraser Valley, British Columbia",Females,70 years,1426
2016,"Fraser Valley, British Columbia",Females,71 years,1350
2016,"Fraser Valley, British Columbia",Females,72 years,1274
2016,"Fraser Valley, British Columbia",Females,73 years,1221
2016,"Fraser Valley, British Columbia",Females,74 years,1117
2016,"Fraser Valley, British Columbia",Females,75 years,1073
2016,"Fraser Valley, British Columbia",Females,76 years,1060
2016,"Fraser Valley, British Columbia",Females,77 years,959
2016,"Fraser Valley, British Columbia",Females,78 years,902
2016,"Fraser Valley, British Columbia",Females,79 years,920
2016,"Fraser Valley, British Columbia",Females,80 years,825
2016,"Fraser Valley, British Columbia",Females,81 years,750
2016,"Fraser Valley, British Columbia",Females,82 years,694
2016,"Fraser Valley, British Columbia",Females,83 years,734
2016,"Fraser Valley, British Columbia",Females,84 years,607
2016,"Fraser Valley, British Columbia",Females,85 years,629
2016,"Fraser Valley, British Columbia",Females,86 years,598
2016,"Fraser Valley, British Columbia",Females,87 years,485
2016,"Fraser Valley, British Columbia",Females,88 years,466
2016,"Fraser Valley, British Columbia",Females,89 years,415
2016,"Fraser Valley, British Columbia",Females,90 years and over,1838
2016,"Greater Vancouver, British Columbia",Males,0 years,12492
2016,"Greater Vancouver, British Columbia",Males,1 year,12554
2016,"Greater Vancouver, British Columbia",Males,2 years,12434
2016,"Greater Vancouver, British Columbia",Males,3 years,12600
2016,"Greater Vancouver, British Columbia",Males,4 years,12415
2016,"Greater Vancouver, British Columbia",Males,5 years,12269
2016,"Greater Vancouver, British Columbia",Males,6 years,12711
2016,"Greater Vancouver, British Columbia",Males,7 years,12907
2016,"Greater Vancouver, British Columbia",Males,8 years,12757
