,crop,date,hectares,tonnes,tonnes_per_hec,SWBC hectares planted,SWBC tonnes
0,Barley,2011.0,26500.0,64200.0,2.422641509433962,458.0,1109.5698113207548
1,Oats,2011.0,35200.0,86400.0,2.4545454545454546,465.0,1141.3636363636365
2,Tame hay,2011.0,401400.0,1732700.0,4.316641753861485,23836.0,102891.47284504236
3,Total wheat,2011.0,33300.0,121600.0,3.6516516516516515,758.0,2767.9519519519517
4,"Beans, all dry (white and coloured)",2011.0,80100.0,162500.0,2.0287141073657926,37.0,75.06242197253432
5,Chick peas,2011.0,47500.0,85600.0,1.8021052631578947,0.0,0.0
6,Corn for grain,2011.0,1291600.0,11358700.0,8.794286156704862,166.0,1459.8515020130071
7,Flaxseed,2011.0,299300.0,398900.0,1.332776478449716,0.0,0.0
8,Lentils,2011.0,1035000.0,1573500.0,1.5202898550724637,0.0,0.0
9,"Rye, all",2011.0,123500.0,241400.0,1.954655870445344,243.0,474.9813765182186
10,Soybeans,2011.0,1558800.0,4466500.0,2.865345137285091,0.0,0.0
11,Apples,2011.0,3904.0,100107.0,25.6421618852459,92.0,2359.0788934426228
12,Apricots,2011.0,94.0,402.0,4.276595744680851,1.0,4.276595744680851
13,Blueberries,2011.0,8441.0,44120.0,5.226868854401137,8205.0,42886.45895036133
14,"Cherries, sweet",2011.0,1691.0,10419.0,6.1614429331756355,22.0,135.55174452986398
15,Cranberries,2011.0,2638.0,27431.0,10.398407884761182,2553.0,26547.1353297953
16,Grapes,2011.0,3730.0,20972.0,5.622520107238606,115.0,646.5898123324397
17,Peaches (fresh and clingstone),2011.0,511.0,4858.0,9.506849315068493,5.0,47.534246575342465
18,Pears,2011.0,260.0,5838.0,22.453846153846154,32.0,718.5230769230769
19,Plums and prunes,2011.0,189.0,1447.0,7.656084656084656,24.0,183.74603174603175
20,Raspberries,2011.0,1747.0,11170.0,6.393817973669147,1603.0,10249.290211791644
21,Strawberries,2011.0,363.0,2103.0,5.793388429752066,256.0,1483.107438016529
22,Asparagus,2011.0,118.0,203.0,1.7203389830508475,6.0,10.322033898305085
23,"Beans, green and wax",2011.0,749.0,4258.0,5.684913217623498,705.0,4007.863818424566
24,Beets,2011.0,159.0,4694.0,29.52201257861635,107.0,3158.85534591195
25,Beets,2011.0,159.0,4694.0,29.52201257861635,0.0,0.0
26,Broccoli,2011.0,334.0,1804.0,5.401197604790419,306.0,1652.7664670658683
27,Brussels sprouts,2011.0,310.0,3914.0,12.625806451612902,299.0,3775.116129032258
28,Cabbage,2011.0,431.0,6540.0,15.174013921113689,367.0,5568.863109048724
29,Carrots,2011.0,297.0,8740.0,29.42760942760943,190.0,5591.245791245791
30,Cauliflower,2011.0,72.0,813.0,11.291666666666666,53.0,598.4583333333333
31,Celery,2011.0,8.0,56.0,7.0,3.0,21.0
32,"Corn, sweet",2011.0,1301.0,7511.0,5.773251345119139,949.0,5478.815526518063
33,Cucumbers and gherkins (all varieties),2011.0,104.0,964.0,9.26923076923077,62.0,574.6923076923077
34,Lettuce,2011.0,238.0,6215.0,26.113445378151262,186.0,4857.100840336135
35,Dry onions,2011.0,123.0,3995.0,32.479674796747965,9.0,292.3170731707317
36,"Peas, green",2011.0,312.0,1159.0,3.71474358974359,273.0,1014.125
37,Pumpkins,2011.0,370.0,9842.0,26.6,264.0,7022.400000000001
38,Shallots and green onions,2011.0,55.0,760.0,13.818181818181818,32.0,442.1818181818182
39,Spinach,2011.0,69.0,655.0,9.492753623188406,52.0,493.6231884057971
40,Squash and zucchinis,2011.0,412.0,3830.0,9.29611650485437,290.0,2695.873786407767
41,Tomatoes,2011.0,115.0,2420.0,21.043478260869566,17.0,357.7391304347826
42,Peppers,2011.0,149.0,2451.0,16.449664429530202,60.0,986.9798657718121
43,Radishes,2011.0,43.0,635.0,14.767441860465116,33.0,487.3255813953488
44,Rutabagas and turnips,2011.0,117.0,2421.0,20.692307692307693,102.0,2110.6153846153848
45,"Fresh tomatoes, greenhouse",2011.0,108.1391,64129.726,593.0299586366078,87.81620000000002,52077.63745362409
46,"Fresh cucumbers, greenhouse",2011.0,39.5126,18451.582000000002,466.97969761544425,87.81620000000002,41008.38252173739
47,"Fresh peppers, greenhouse",2011.0,131.3047,29513.441,224.77063654233245,87.81620000000002,19738.50317272878
48,Potatoes,2011.0,2873.2706,96.41839999999999,0.03355702035165083,2320.0,77.85228721582993
49,Mushrooms,,30.995227890000002,21849.006414,758.5634147219414,21.402,16234.77420187899
50,"Peas, dry",,3260.0,4900.0,1.7116666666666667,,
51,Mixed grains,,3371.4285714285716,3671.4285714285716,1.2108843537414966,71.0,85.97278911564626
52,"Cherries, sour",,39.0,176.0,4.394088669950738,4.0,17.576354679802954
53,Canola Oil,0.0,0.0,0.0,0.75,385.0,288.75
