Age,Food Group,Servings/Day,Servings/Year
2 to 3,Fruit and Veg,4,1460
4 to 8 ,Fruit and Veg,5,1825
9 to 13,Fruit and Veg,6,2190
Female (14-18),Fruit and Veg,7,2555
Male (14-18),Fruit and Veg,8,2920
Females (19-50),Fruit and Veg,7.5,2737.5
Males (19-50),Fruit and Veg,9,3285
Females (51+),Fruit and Veg,7,2555
Males (51+),Fruit and Veg,7,2555
2 to 3,Grains,3,1095
4 to 8 ,Grains,4,1460
9 to 13,Grains,6,2190
Female (14-18),Grains,6,2190
Male (14-18),Grains,7,2555
Females (19-50),Grains,6.5,2372.5
Males (19-50),Grains,8,2920
Females (51+),Grains,6,2190
Males (51+),Grains,7,2555
2 to 3,Milk and Alt,2,730
4 to 8 ,Milk and Alt,2,730
9 to 13,Milk and Alt,3.5,1277.5
Female (14-18),Milk and Alt,3.5,1277.5
Male (14-18),Milk and Alt,3.5,1277.5
Females (19-50),Milk and Alt,2,730
Males (19-50),Milk and Alt,2,730
Females (51+),Milk and Alt,3,1095
Males (51+),Milk and Alt,3,1095
2 to 3,Meat and Alt,1,365
4 to 8 ,Meat and Alt,1,365
9 to 13,Meat and Alt,1.5,547.5
Female (14-18),Meat and Alt,2,730
Male (14-18),Meat and Alt,3,1095
Females (19-50),Meat and Alt,2,730
Males (19-50),Meat and Alt,3,1095
Females (51+),Meat and Alt,2,730
Males (51+),Meat and Alt,3,1095
2 to 3,Fats and Oils,2,730
4 to 8 ,Fats and Oils,2,730
9 to 13,Fats and Oils,2,730
Female (14-18),Fats and Oils,2,730
Male (14-18),Fats and Oils,2,730
Females (19-50),Fats and Oils,2,730
Males (19-50),Fats and Oils,2,730
Females (51+),Fats and Oils,2,730
Males (51+),Fats and Oils,2,730
