Livestock Type,Wheat,Oats,Barley,Grain Corn,Dry Peas,Soybean Meal,Canola Meal,Pasture,Hay,Silage
Beef Cattle,0,0.020490196,0.380093137,0.00102451,0,0.00102451,0.005122549,2.056,1.427,0.177
Beef cows ,0,0.007147147,0.315495495,0,0,0.005105105,0.005105105,2.025,1.528,0.087
Slaughter calves,0.00102726,0.013354376,0.581428981,0.0636901,0,0.020545194,0.016436155,0.829,0.217,0.011
Steers & Heifer Slaughter,0,0,1.327320417,0,0,0,0.014250373,1.098,0.817,0.44
Dairy Cattle,0,0,1.355717427,0,0,0,0.403051127,0.373,0.986,1.769
Dairy cows,0,0,2.375,0,0,0,0.7125,0.457,0.913,2.738
Dairy calves <1 yr,0,0,0.603870968,0,0,0,0.18116129,0.063,1.27,0.317
Dairy Heifers > 1 yr,0,0,0.089,0,0,0,0.015,0.508,0.853,1.28
Sheep and lambs ,0,0.001,0.036,0,0,0,0.001,0.19,0.132,0.028
Rams & Ewes,0,0,0.042,0,0,0,0,0.279,0.305,0.076
Slaughter lambs,0,0.002,0.021,0,0,0,0.002,0.127,0.013,0
Pigs,0.111817073,0.001054878,0.132914634,0.001054878,0.046414634,0.016878049,0.016878049,0,0,0
Sows & Bred Gilts,0.249699681,0,0.465252396,0,0.12058147,0.050153355,0.049086262,0,0,0
Feeder Pigs,0.105442177,0.001054422,0.114931973,0,0.042176871,0.014761905,0.014761905,0,0,0
Layers ,0.011453381,0,0,0.010817082,0,0.003605694,0.002120996,0,0,0
Broilers,0.0012,0,0.0009,0,0,0.0003,0.0002,0,0,0
Turkeys,0.004759722,0,0,0.005897917,0,0.003104167,0.000620833,0,0,0
