,commodity,group,SWBC Food Need Balanced (t),diet and seasonality constraint (balanced),SWBC Food Need Unbalanced (t),diet and seasonality constraint (unbalanced)
0,"Apple juice (litres per person, per year)",Fruit & Vegetables,35574.5363930522,35574.5363930522,19386.085510655997,19386.085510655997
1,Apple pie filling,Fruit & Vegetables,682.8781340445762,682.8781340445762,372.12948480000006,372.12948480000006
2,Apple sauce,Fruit & Vegetables,2495.9195799329264,2495.9195799329264,1360.1332669439998,1360.1332669439998
3,Apples canned,Fruit & Vegetables,2682.651428311322,2682.651428311322,1461.8914329599995,1461.8914329599995
4,Apples dried,Fruit & Vegetables,1648.326530452425,1648.326530452425,898.2435839999999,898.2435839999998
5,Apples fresh,Fruit & Vegetables,56043.102035382464,42032.32652653685,30540.281856,22905.211392
6,Apples frozen,Fruit & Vegetables,439.5537414539802,439.55374145398014,239.53162240000003,239.53162240000003
7,Apricots canned,Fruit & Vegetables,128.03965013335804,128.03965013335804,69.7742784,69.7742784
8,Apricots fresh,Fruit & Vegetables,545.5175898402075,90.91959830670125,297.2758528,49.54597546666667
9,Asparagus canned,Fruit & Vegetables,2166.9999453681216,2166.9999453681216,1180.890898432,1180.890898432
10,Asparagus fresh,Fruit & Vegetables,2458.7537412582014,409.79229020970024,1339.8800128,223.31333546666667
11,Avocados fresh,Fruit & Vegetables,4056.0606410061473,0.0,2210.3208192,0.0
12,Baked and canned beans and lima beans,Meat & Alts,5005.297920721127,5005.297920721127,3318.1545727999996,3318.1545727999996
13,Bananas fresh,Fruit & Vegetables,55299.88337656239,0.0,30135.270239999998,0.0
14,Beans green and wax canned,Fruit & Vegetables,3134.410635264605,3134.410635264605,1708.0743352319998,1708.074335232
15,Beans green and wax fresh,Fruit & Vegetables,4154.1753154378375,1038.5438288594594,2263.7876992,565.9469248
16,Beans green and wax frozen,Fruit & Vegetables,1471.1314284287896,1471.1314284287896,801.6823987199999,801.6823987199998
17,"Beef and veal total, boneless weight",Meat & Alts,99806.11235665971,99806.11235665971,66164.31496287999,66164.31496287999
18,Beets canned,Fruit & Vegetables,1102.8481864819905,1102.8481864819905,600.9891179519999,600.9891179519999
19,Beets fresh,Fruit & Vegetables,2665.775704309071,2665.775704309071,1452.6951296,1452.6951296
