,commodity,kg/person,servings/person,name,group,serving,reference,waste,conversion,season,percent of group,balanced rec(kg),balanced rec(t),incwaste,Food Need (tonnes)/person,SWBC Food Need,diet and seasonality constraint
0,"Apple juice (litres per person, per year)",4.53,34.58015267,"Apple juice (litres per person, per year)",Fruit & Vegetables,125mL,131,1.16,1.38,12,0.037195172,8.312799909,0.0083128,0.009642848,0.01330713,35574.53639,35574.53639
1,Apple pie filling,0.08,0.573888092,Apple pie filling,Fruit & Vegetables,125 mL slices,139.4,1.16,1.5,12,0.000656868,0.146804413,0.000146804,0.000170293,0.00025544,682.878134,682.878134
2,Apple sauce,0.34,2.637703646,Apple sauce,Fruit & Vegetables,125mL,128.9,1.16,1.29,12,0.002791691,0.623918757,0.000623919,0.000723746,0.000933632,2495.91958,2495.91958
3,Apples canned,0.18,1.669758813,Apples canned,Fruit & Vegetables,125mL slices,107.8,1.4,2.17,12,0.001477954,0.33030993,0.00033031,0.000462434,0.001003482,2682.651428,2682.651428
4,Apples dried,0.03,1.376146789,Apples dried,Fruit & Vegetables,60mL,21.8,1.4,8,12,0.000246326,0.055051655,5.51E-05,7.71E-05,0.000616579,1648.32653,1648.32653
5,Apples fresh,8.16,59.0021692,Apples fresh,Fruit & Vegetables,1 medium,138.3,1.4,1,9,0.067000575,14.97405017,0.01497405,0.02096367,0.02096367,56043.10204,42032.32653
6,Apples frozen,0.04,0.437636761,Apples frozen,Fruit & Vegetables,125mL slices,91.4,1.4,1.6,12,0.000328434,0.073402207,7.34E-05,0.000102763,0.000164421,439.5537415,439.5537415
7,Apricots canned,0.03,0.23364486,Apricots canned,Fruit & Vegetables,125 mL ,128.4,1.16,0.75,12,0.000246326,0.055051655,5.51E-05,6.39E-05,4.79E-05,128.0396501,128.0396501
8,Apricots fresh,0.08,0.761904762,Apricots fresh,Fruit & Vegetables,3 fruits,105,1.39,1,2,0.000656868,0.146804413,0.000146804,0.000204058,0.000204058,545.5175898,90.91959831
9,Asparagus canned,0.32,2.962962963,Asparagus canned,Fruit & Vegetables,6 spears,108,1.16,1.19,12,0.002627474,0.587217654,0.000587218,0.000681172,0.000810595,2166.999945,2166.999945
10,Asparagus fresh,0.28,2.916666667,Asparagus fresh,Fruit & Vegetables,6 spears,96,1.79,1,2,0.002299039,0.513815447,0.000513815,0.00091973,0.00091973,2458.753741,409.7922902
11,Avocados fresh,0.53,5.273631841,Avocados fresh,Fruit & Vegetables,1/2 fruit,100.5,1.56,1,0,0.004351753,0.972579239,0.000972579,0.001517224,0.001517224,4056.060641,0
12,Baked and canned beans and lima beans,1.07,26.75,Baked and canned beans and lima beans,Meat & Alts,175mL cooked,40,1.16,1,12,0.022843723,1.614050418,0.00161405,0.001872298,0.001872298,5005.297921,5005.297921
13,Bananas fresh,6.75,57.20338983,Bananas fresh,Fruit & Vegetables,medium,118,1.67,1,0,0.05542327,12.38662238,0.012386622,0.020685659,0.020685659,55299.88338,0
14,Beans green and wax canned,0.81,9.830097087,Beans green and wax canned,Fruit & Vegetables,125mL,82.4,1.16,0.68,12,0.006650792,1.486394686,0.001486395,0.001724218,0.001172468,3134.410635,3134.410635
15,Beans green and wax fresh,0.58,17.95665635,Beans green and wax fresh,Fruit & Vegetables,125mL,32.3,1.46,1,3,0.004762296,1.064331997,0.001064332,0.001553925,0.001553925,4154.175315,1038.543829
16,Beans green and wax frozen,0.2,3.210272873,Beans green and wax frozen,Fruit & Vegetables,125mL,62.3,1.26,1.19,12,0.001642171,0.367011033,0.000367011,0.000462434,0.000550296,1471.131428,1471.131428
17,"Beef and veal total, boneless weight",11.95,132.7777778,"Beef and veal total, boneless weight",Meat & Alts,75 g cooked,90,1.39,1.49,12,0.255123826,18.0260771,0.018026077,0.025056247,0.037333808,99806.11236,99806.11236
18,Beets canned,0.17,1.893095768,Beets canned,Fruit & Vegetables,125mL slices,89.8,1.16,1.14,12,0.001395845,0.311959378,0.000311959,0.000361873,0.000412535,1102.848186,1102.848186
19,Beets fresh,0.38,5.28511822,Beets fresh,Fruit & Vegetables,125mL,71.9,1.43,1,12,0.003120125,0.697320964,0.000697321,0.000997169,0.000997169,2665.775704,2665.775704
20,Blueberries canned,0.02,0.147928994,Blueberries canned,Fruit & Vegetables,125mL,135.2,1.16,1,12,0.000164217,0.036701103,3.67E-05,4.26E-05,4.26E-05,113.8130223,113.8130223
21,Blueberries fresh,0.99,12.92428198,Blueberries fresh,Fruit & Vegetables,125mL,76.6,1.37,1,2,0.008128746,1.816704616,0.001816705,0.002488885,0.002488885,6653.646647,1108.941108
22,Blueberries frozen,0.67,8.180708181,Blueberries frozen,Fruit & Vegetables,125mL,81.9,1.16,1.03,12,0.005501273,1.229486962,0.001229487,0.001426205,0.001468991,3927.118336,3927.118336
23,Broccoli & Cauliflower frozen,0.59,7.160194175,Broccoli & Cauliflower frozen,Fruit & Vegetables,125mL,82.4,1.22,1.33,12,0.004844404,1.082682549,0.001082683,0.001320873,0.001756761,4696.425687,4696.425687
24,Broccoli fresh,1.03,22.15053763,Broccoli fresh,Fruit & Vegetables,125mL chopped,46.5,1.71,1,6,0.00845718,1.890106822,0.001890107,0.003232083,0.003232083,8640.468804,4320.234402
