commodity,group,SWBC Food Need Balanced (t),diet and seasonality constraint (balanced),SWBC Food Need Unbalanced (t),diet and seasonality constraint (unbalanced)
Avocados fresh,Fruit & Vegetables,4056.060641,0,2210.320819,0
Bananas fresh,Fruit & Vegetables,55299.88338,0,30135.27024,0
Coconut fresh,Fruit & Vegetables,1593.382313,0,868.3021312,0
Dates fresh,Fruit & Vegetables,5995.787755,0,3267.361037,0
Figs fresh,Fruit & Vegetables,1650.288824,0,899.3129216,0
"Grapefruit juice (litres per person, per year)",Fruit & Vegetables,3906.062927,0,2128.580653,0
"Lemon juice (litres per person, per year)",Fruit & Vegetables,10243.17201,0,5581.942272,0
Manioc fresh,Fruit & Vegetables,380.1943634,0,207.18416,0
"Orange juice (litres per person, per year)",Fruit & Vegetables,97169.00595,0,52951.54482,0
Papayas fresh,Fruit & Vegetables,1537.947522,0,838.093344,0
Peanuts,Meat & Alts,11180.05797,0,7411.578906,0
"Pineapple juice (litres per person, per year)",Fruit & Vegetables,4837.053449,0,2635.917184,0
Pineapple canned,Fruit & Vegetables,5676.993554,0,3093.63645,0
Pineapple fresh,Fruit & Vegetables,9625.049562,0,5245.100928,0
Potatoes sweet fresh,Fruit & Vegetables,5521.893877,0,3009.116006,0
Rice,Grains,16938.30758,0,16938.30758,0
Rye flour,Grains,809.8628314,0,809.8628314,0
Tomatoes juice,Fruit & Vegetables,4609.427405,4609.427405,2511.874022,2511.874022
Tomatoes canned,Fruit & Vegetables,29796.24925,29796.24925,16237.24985,16237.24985
"Tomatoes, pulp, paste and puree",Fruit & Vegetables,73614.26285,73614.26285,40115.55846,40115.55846
